metric_type,source,threshold,window,comparison,radius,dtw_score
Network Density,RSV,0.4,30,Active Cases,30,55.8648746062297
Network Density,MSV,0.6,15,Active Cases,50,55.899687745534834
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,20,55.95577397910745
Network Density,MSV,0.5,15,Active Cases,50,55.95719835156968
Network Density,MSV,0.4,15,Confirmed Cases,50,55.962161172161196
Network Density,RSV,0.5,15,Confirmed Cases,7,55.9966666666666
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,15,56.106405023547936
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,30,56.199178440607156
Clustering Coefficient,MSV,0.4,15,Active Cases,50,56.19927424690326
Network Density,RSV,0.6,15,Active Cases,15,56.34301304772757
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,7,56.49733116648618
Network Density,MSV,0.5,15,Confirmed Cases,7,56.54594268476627
Network Density,RSV,0.8,30,Confirmed Cases,15,56.56974358974362
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,50,56.65993589743628
Network Density,MSV,0.4,30,Confirmed Cases,7,56.75011863758134
Network Density,MSV,0.5,30,Active Cases,50,56.825751298403404
Network Density,MSV,0.8,15,Confirmed Cases,7,56.87153846153849
Network Density,RSV,0.4,15,Active Cases,20,56.89092534751587
Network Density,MSV,0.4,15,Confirmed Cases,30,56.91763997906853
Network Density,MSV,0.4,30,Active Cases,50,57.19123143070145
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,7,57.36123543123542
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,50,57.424358974359365
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,15,57.4294301994303
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,7,57.50940170940174
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,20,57.601208791208876
Network Density,RSV,0.6,30,Active Cases,30,57.62868990722509
Network Density,RSV,0.5,30,Active Cases,7,57.70180319187182
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,7,58.025923600209346
Network Density,RSV,0.4,15,Confirmed Cases,30,58.04336996337001
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,7,58.37499789827666
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,15,58.55996336996344
Network Density,RSV,0.4,15,Active Cases,15,58.60031058674901
Network Density,MSV,0.4,15,Confirmed Cases,20,58.63221350078495
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,7,58.69384615384622
Network Density,RSV,0.4,30,Active Cases,20,58.85044116692975
Network Density,RSV,0.4,30,Confirmed Cases,30,58.856666666666655
Clustering Coefficient,RSV,0.4,15,Active Cases,20,58.99566007946245
Clustering Coefficient,MSV,0.4,15,Active Cases,30,59.041530136827156
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,30,59.08083333333352
Network Density,MSV,0.4,15,Active Cases,30,59.210843941837744
Network Density,MSV,0.5,15,Active Cases,30,59.563462859740234
Network Density,RSV,0.5,15,Active Cases,7,59.63870030000525
Network Density,RSV,0.8,30,Confirmed Cases,7,59.645641025641076
Network Density,MSV,0.4,30,Active Cases,30,59.69281474270485
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,7,59.851145996860296
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,30,59.88846153846178
Network Density,MSV,0.5,30,Active Cases,30,59.992473452396716
Network Density,MSV,0.4,15,Confirmed Cases,15,60.143254840397745
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,20,60.371538461538556
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,7,60.38951566951573
Clustering Coefficient,RSV,0.4,15,Active Cases,15,60.525967829110904
Network Density,MSV,0.6,15,Active Cases,30,60.651429711276165
Network Density,MSV,0.4,15,Active Cases,20,60.87990600130433
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,15,60.90192307692313
Network Density,RSV,0.4,30,Active Cases,15,61.076504977545135
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,20,61.152564102564256
Network Density,MSV,0.4,30,Active Cases,20,61.26525126685942
Clustering Coefficient,MSV,0.4,15,Active Cases,20,61.520986559838164
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,50,61.64076923076919
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,30,61.64076923076919
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,20,61.64076923076919
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,15,61.64076923076919
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,7,61.64076923076919
Network Density,MSV,0.5,15,Active Cases,20,61.829256266456774
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,15,61.836410256410375
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,7,61.947371794871785
Network Density,RSV,0.4,15,Confirmed Cases,20,62.085366300366346
Network Density,RSV,0.6,15,Active Cases,7,62.272254463122586
Network Density,MSV,0.4,30,Active Cases,15,62.2765288681697
Network Density,RSV,0.6,30,Active Cases,20,62.394349493793904
Network Density,RSV,0.4,30,Confirmed Cases,20,62.53794871794869
Network Density,MSV,0.4,15,Active Cases,15,62.6278496658953
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,50,62.67538461538447
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,30,62.67538461538447
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,7,62.706153846153704
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,15,62.706153846153704
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,20,62.706153846153704
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,7,62.883846153846186
Network Density,MSV,0.5,30,Active Cases,20,62.97180627278055
Clustering Coefficient,MSV,0.4,15,Active Cases,15,63.392039538834204
