metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,RSV,0.8,30,Active Cases,50,28.10467622528325
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,7,28.177619594336072
Network Density,MSV,0.6,30,Confirmed Cases,7,28.19968325791855
Network Density,RSV,0.4,15,Confirmed Cases,50,28.442326007325985
Network Density,RSV,0.5,30,Confirmed Cases,7,28.666100178890876
Clustering Coefficient,MSV,0.8,30,Active Cases,50,28.68794864586246
Network Density,MSV,0.6,15,Confirmed Cases,7,28.755104895104928
Network Density,RSV,0.8,15,Confirmed Cases,7,28.968498168498208
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,7,29.199440083725808
Network Density,RSV,0.6,30,Active Cases,30,29.291949014247326
Network Density,MSV,0.6,15,Active Cases,30,29.350461986368824
Network Density,RSV,0.5,30,Active Cases,20,29.417093273880784
Network Density,RSV,0.5,15,Confirmed Cases,20,29.558717948717938
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,7,29.631794871794806
Network Density,MSV,0.4,30,Active Cases,30,29.738896185364993
Network Density,MSV,0.5,15,Confirmed Cases,20,30.03503770739061
Network Density,MSV,0.4,30,Confirmed Cases,20,30.173819364714866
Network Density,MSV,0.5,15,Active Cases,30,30.194122770487432
Network Density,RSV,0.6,15,Confirmed Cases,7,30.284285714285698
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,7,30.31564102564102
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,7,30.33096153846149
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,7,30.342222222222247
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,7,30.415213675213696
Clustering Coefficient,RSV,0.4,15,Active Cases,30,30.522464958071325
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,7,30.68794871794858
Network Density,RSV,0.8,30,Confirmed Cases,7,30.702307692307667
Network Density,MSV,0.8,15,Confirmed Cases,7,30.979230769230778
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,7,31.037473884140574
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,7,31.423846153846146
Clustering Coefficient,MSV,0.4,15,Active Cases,30,31.953259891092763
Network Density,MSV,0.6,30,Active Cases,30,32.16563445732526
Network Density,RSV,0.5,15,Confirmed Cases,15,32.18666666666666
Network Density,MSV,0.5,15,Confirmed Cases,15,32.299788838612315
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,7,32.49103647526188
Network Density,MSV,0.4,30,Confirmed Cases,15,32.54967470340603
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,7,32.69445565363602
Network Density,MSV,0.8,30,Active Cases,30,32.815846687283205
Network Density,RSV,0.4,30,Confirmed Cases,30,33.081794871794806
Network Density,RSV,0.5,30,Active Cases,15,33.1114894094623
Clustering Coefficient,RSV,0.5,15,Active Cases,50,33.19402916732155
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,7,33.237455371632585
Network Density,RSV,0.4,30,Active Cases,30,33.40098253353808
Clustering Coefficient,RSV,0.4,30,Active Cases,30,33.68061258564417
Network Density,RSV,0.5,15,Active Cases,20,33.99588032546469
Clustering Coefficient,MSV,0.5,15,Active Cases,50,34.33957815496307
Network Density,RSV,0.4,15,Active Cases,30,34.38972296044841
Network Density,MSV,0.4,15,Active Cases,30,34.52197032642029
Network Density,RSV,0.6,15,Active Cases,20,34.66097603255072
Network Density,MSV,0.4,15,Confirmed Cases,30,34.6631240188383
Network Density,MSV,0.5,30,Active Cases,20,34.68387390320053
Clustering Coefficient,MSV,0.4,30,Active Cases,30,35.20029789034567
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,7,35.52340853492794
Clustering Coefficient,MSV,0.5,30,Active Cases,30,35.983025231458875
Network Density,RSV,0.8,15,Active Cases,50,36.02532231151826
Network Density,MSV,0.4,30,Active Cases,20,36.372718918760214
Clustering Coefficient,RSV,0.5,30,Active Cases,30,36.5028738325055
Network Density,RSV,0.4,15,Confirmed Cases,30,36.679725274725236
Clustering Coefficient,MSV,0.6,30,Active Cases,30,37.20239959914239
Network Density,RSV,0.6,30,Active Cases,20,37.44692188625948
Clustering Coefficient,RSV,0.6,30,Active Cases,30,37.49843969637329
Network Density,RSV,0.8,30,Active Cases,30,37.71417861493763
Clustering Coefficient,RSV,0.4,15,Active Cases,20,37.76958403445859
Network Density,MSV,0.6,15,Active Cases,20,37.83958992745859
Network Density,RSV,0.5,15,Active Cases,15,37.857609189241444
Network Density,MSV,0.5,15,Active Cases,20,37.90207332458406
Network Density,MSV,0.4,30,Confirmed Cases,7,38.43114810562571
Network Density,RSV,0.6,15,Active Cases,15,38.60827040242809
Clustering Coefficient,RSV,0.8,30,Active Cases,30,38.63189954081134
Clustering Coefficient,MSV,0.8,30,Active Cases,30,38.724566582325814
Network Density,MSV,0.8,15,Active Cases,50,39.023334438525104
Network Density,MSV,0.4,15,Confirmed Cases,20,39.11331763474618
Network Density,MSV,0.5,30,Active Cases,15,39.16528688180945
Network Density,RSV,0.4,30,Confirmed Cases,20,39.36282051282048
Network Density,MSV,0.5,15,Confirmed Cases,7,39.436696832579145
Clustering Coefficient,MSV,0.4,15,Active Cases,20,39.676132986824825
Network Density,RSV,0.5,15,Confirmed Cases,7,39.74025641025638
Network Density,RSV,0.4,30,Active Cases,20,39.85347418957205
Network Density,MSV,0.4,30,Active Cases,15,39.88596971566128
Clustering Coefficient,MSV,0.6,15,Active Cases,50,41.08295457020611
Network Density,MSV,0.8,30,Active Cases,20,41.347980507918614
Network Density,MSV,0.6,30,Active Cases,20,41.37434057120175
Clustering Coefficient,RSV,0.6,15,Active Cases,50,41.41781293601769
