date,lagnat,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-06-15,0,2.224806201550388,0.0,0.0
2020-06-16,85,2.224806201550388,189.10852713178298,40.93258163025606
2020-06-17,0,2.224806201550388,0.0,0.0
2020-06-18,44,2.224806201550388,97.89147286821708,21.188630490956083
2020-06-19,0,2.224806201550388,0.0,0.0
2020-06-20,0,2.224806201550388,0.0,0.0
2020-06-21,0,3.4275862068965517,0.0,0.0
2020-06-22,0,3.4275862068965517,0.0,0.0
2020-06-23,0,3.4275862068965517,0.0,0.0
2020-06-24,45,3.4275862068965517,154.24137931034483,33.38557993730408
2020-06-25,0,3.4275862068965517,0.0,0.0
2020-06-26,0,3.4275862068965517,0.0,0.0
2020-06-27,100,3.4275862068965517,342.7586206896552,74.19017763845352
2020-06-28,50,3.172661870503597,158.63309352517985,34.33616742969261
2020-06-29,0,3.172661870503597,0.0,0.0
2020-06-30,0,3.172661870503597,0.0,0.0
2020-07-01,0,3.172661870503597,0.0,0.0
2020-07-02,49,3.172661870503597,155.46043165467626,33.649444081098764
2020-07-03,40,3.172661870503597,126.90647482014387,27.468933943754088
2020-07-04,0,3.172661870503597,0.0,0.0
2020-07-05,0,2.4292237442922375,0.0,0.0
2020-07-06,0,2.4292237442922375,0.0,0.0
2020-07-07,46,2.4292237442922375,111.74429223744292,24.187076241870763
2020-07-08,0,2.4292237442922375,0.0,0.0
2020-07-09,71,2.4292237442922375,172.47488584474885,37.33222637332227
2020-07-10,51,2.4292237442922375,123.89041095890411,26.816106268161064
2020-07-11,51,2.4292237442922375,123.89041095890411,26.816106268161064
2020-07-12,58,1.6238244514106583,94.18181818181819,20.38567493112948
2020-07-13,49,1.6238244514106583,79.56739811912226,17.22238054526456
2020-07-14,42,1.6238244514106583,68.20062695924766,14.762040467369625
2020-07-15,56,1.6238244514106583,90.93416927899686,19.682720623159497
2020-07-16,55,1.6238244514106583,89.3103448275862,19.331243469174506
2020-07-17,0,1.6238244514106583,0.0,0.0
2020-07-18,59,1.6238244514106583,95.80564263322884,20.73715208511447
2020-07-19,87,1.8580246913580247,161.64814814814815,34.988776655443324
2020-07-20,0,1.8580246913580247,0.0,0.0
2020-07-21,51,1.8580246913580247,94.75925925925927,20.510662177328847
2020-07-22,65,1.8580246913580247,120.77160493827161,26.141040029928924
2020-07-23,58,1.8580246913580247,107.76543209876543,23.325851103628885
2020-07-24,63,1.8580246913580247,117.05555555555556,25.33670033670034
2020-07-25,0,1.8580246913580247,0.0,0.0
2020-07-26,0,2.147410358565738,0.0,0.0
2020-07-27,0,2.147410358565738,0.0,0.0
2020-07-28,100,2.147410358565738,214.74103585657377,46.48074369189909
2020-07-29,90,2.147410358565738,193.2669322709164,41.83266932270919
2020-07-30,0,2.147410358565738,0.0,0.0
2020-07-31,61,2.147410358565738,130.99203187251,28.353253652058445
2020-08-01,0,2.147410358565738,0.0,0.0
2020-08-02,0,2.032258064516129,0.0,0.0
2020-08-03,52,2.032258064516129,105.6774193548387,22.873900293255133
2020-08-04,0,2.032258064516129,0.0,0.0
2020-08-05,58,2.032258064516129,117.87096774193549,25.513196480938422
2020-08-06,57,2.032258064516129,115.83870967741936,25.073313782991207
2020-08-07,81,2.032258064516129,164.61290322580646,35.63049853372435
2020-08-08,0,2.032258064516129,0.0,0.0
2020-08-09,71,1.3315217391304348,94.53804347826087,20.462779973649543
2020-08-10,61,1.3315217391304348,81.22282608695653,17.58069828722003
2020-08-11,49,1.3315217391304348,65.24456521739131,14.122200263504613
2020-08-12,59,1.3315217391304348,78.55978260869566,17.00428194993413
2020-08-13,57,1.3315217391304348,75.89673913043478,16.427865612648223
2020-08-14,71,1.3315217391304348,94.53804347826087,20.462779973649543
2020-08-15,0,1.3315217391304348,0.0,0.0
2020-08-16,0,2.0434782608695654,0.0,0.0
2020-08-17,0,2.0434782608695654,0.0,0.0
2020-08-18,0,2.0434782608695654,0.0,0.0
2020-08-19,0,2.0434782608695654,0.0,0.0
2020-08-20,82,2.0434782608695654,167.56521739130437,36.26952757387541
2020-08-21,0,2.0434782608695654,0.0,0.0
2020-08-22,79,2.0434782608695654,161.43478260869566,34.94259363824582
2020-08-23,0,,0.0,0.0
2020-08-24,0,,0.0,0.0
2020-08-25,0,,0.0,0.0
2020-08-26,0,,0.0,0.0
2020-08-27,0,,0.0,0.0
2020-08-28,0,,0.0,0.0
2020-08-29,0,,0.0,0.0
2020-08-30,0,3.744186046511628,0.0,0.0
