date,sipon,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-06-11,46,0.9595015576323987,44.137071651090345,20.33966435534117
2020-06-12,61,0.9595015576323987,58.52959501557633,26.972163601648074
2020-06-13,69,0.9595015576323987,66.2056074766355,30.50949653301175
2020-06-14,100,0.9507874015748032,95.07874015748033,43.815087630175256
2020-06-15,97,0.9507874015748032,92.22637795275591,42.50063500127
2020-06-16,85,0.9507874015748032,80.81692913385828,37.242824485648974
2020-06-17,56,0.9507874015748032,53.24409448818898,24.536449072898144
2020-06-18,54,0.9507874015748032,51.34251968503938,23.66014732029464
2020-06-19,64,0.9507874015748032,60.85039370078741,28.041656083312166
2020-06-20,52,0.9507874015748032,49.44094488188977,22.783845567691134
2020-06-21,56,1.2389380530973453,69.38053097345133,31.97259491864116
2020-06-22,55,1.2389380530973453,68.14159292035399,31.401655723665428
2020-06-23,76,1.2389380530973453,94.15929203539824,43.391378818155864
2020-06-24,56,1.2389380530973453,69.38053097345133,31.97259491864116
2020-06-25,61,1.2389380530973453,75.57522123893806,34.82729089351984
2020-06-26,70,1.2389380530973453,86.72566371681417,39.965743648301455
2020-06-27,78,1.2389380530973453,96.63716814159294,44.533257208107344
2020-06-28,82,1.192504258943782,97.78534923339012,45.06237291861295
2020-06-29,75,1.192504258943782,89.43781942078365,41.21558498653624
2020-06-30,50,1.192504258943782,59.6252129471891,27.477056657690824
2020-07-01,100,1.192504258943782,119.2504258943782,54.95411331538165
2020-07-02,92,1.192504258943782,109.71039182282794,50.557784250151116
2020-07-03,96,1.192504258943782,114.48040885860307,52.75594878276638
2020-07-04,92,1.192504258943782,109.71039182282794,50.557784250151116
2020-07-05,67,1.187624750499002,79.57085828343314,36.66859828729637
2020-07-06,70,1.187624750499002,83.13373253493015,38.310475822548455
2020-07-07,81,1.187624750499002,96.19760479041916,44.330693451806056
2020-07-08,75,1.187624750499002,89.07185628742515,41.046938381301906
2020-07-09,57,1.187624750499002,67.69461077844312,31.19567316978945
2020-07-10,73,1.187624750499002,86.69660678642715,39.952353357800526
2020-07-11,78,1.187624750499002,92.63473053892216,42.688815916553985
2020-07-12,75,1.2901960784313724,96.76470588235293,44.5920303605313
2020-07-13,84,1.2901960784313724,108.37647058823528,49.943074003795054
2020-07-14,66,1.2901960784313724,85.15294117647058,39.24098671726754
2020-07-15,94,1.2901960784313724,121.27843137254901,55.888678051865895
2020-07-16,49,1.2901960784313724,63.21960784313725,29.133459835547114
2020-07-17,88,1.2901960784313724,113.53725490196078,52.32131562302339
