date,face shield,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-08-20,89,0.6327683615819208,56.316384180790955,28.319096045197732
2020-08-21,95,0.6327683615819208,60.11299435028248,30.22824858757061
2020-08-22,85,0.6327683615819208,53.78531073446327,27.04632768361581
2020-08-23,73,0.4582392776523702,33.45146726862303,16.821309255079004
2020-08-24,73,0.4582392776523702,33.45146726862303,16.821309255079004
2020-08-25,63,0.4582392776523702,28.869074492099323,14.517020316027086
2020-08-26,58,0.4582392776523702,26.577878103837474,13.364875846501127
2020-08-27,63,0.4582392776523702,28.869074492099323,14.517020316027086
2020-08-28,60,0.4582392776523702,27.494356659142213,13.82573363431151
2020-08-29,53,0.4582392776523702,24.28668171557562,12.212731376975167
2020-08-30,47,0.4554794520547945,21.40753424657534,10.764931506849312
2020-08-31,37,0.4554794520547945,16.852739726027398,8.474520547945204
2020-09-01,52,0.4554794520547945,23.684931506849313,11.910136986301367
2020-09-02,57,0.4554794520547945,25.96232876712329,13.055342465753423
2020-09-03,38,0.4554794520547945,17.30821917808219,8.703561643835615
2020-09-04,33,0.4554794520547945,15.030821917808218,7.55835616438356
2020-09-05,28,0.4554794520547945,12.753424657534246,6.413150684931505
2020-09-06,33,0.460093896713615,15.183098591549296,7.634929577464787
2020-09-07,31,0.460093896713615,14.262910798122064,7.1722065727699515
2020-09-08,37,0.460093896713615,17.023474178403756,8.560375586854459
2020-09-09,32,0.460093896713615,14.72300469483568,7.403568075117368
2020-09-10,27,0.460093896713615,12.422535211267604,6.246760563380279
2020-09-11,25,0.460093896713615,11.502347417840376,5.784037558685445
2020-09-12,28,0.460093896713615,12.88262910798122,6.478122065727698
2020-09-13,24,0.2947368421052631,7.073684210526314,3.5570526315789457
2020-09-14,29,0.2947368421052631,8.54736842105263,4.298105263157892
2020-09-15,31,0.2947368421052631,9.136842105263156,4.594526315789472
2020-09-16,21,0.2947368421052631,6.189473684210524,3.112421052631577
2020-09-17,30,0.2947368421052631,8.842105263157892,4.446315789473682
2020-09-18,82,0.2947368421052631,24.168421052631572,12.153263157894731
2020-09-19,68,0.2947368421052631,20.04210526315789,10.07831578947368
2020-09-20,78,0.1386138613861386,10.81188118811881,5.436831683168315
2020-09-21,92,0.1386138613861386,12.752475247524751,6.412673267326731
2020-09-22,61,0.1386138613861386,8.455445544554454,4.25188118811881
2020-09-23,59,0.1386138613861386,8.178217821782177,4.112475247524751
2020-09-24,90,0.1386138613861386,12.475247524752474,6.273267326732672
2020-09-25,54,0.1386138613861386,7.485148514851485,3.763960396039603
2020-09-26,71,0.1386138613861386,9.84158415841584,4.948910891089107
2020-09-27,86,0.1506849315068493,12.95890410958904,6.516477495107631
2020-09-28,64,0.1506849315068493,9.643835616438356,4.849471624266143
2020-09-29,69,0.1506849315068493,10.397260273972602,5.228336594911935
2020-09-30,65,0.1506849315068493,9.794520547945204,4.925244618395301
2020-10-01,69,0.1506849315068493,10.397260273972602,5.228336594911935
2020-10-02,73,0.1506849315068493,11.0,5.53142857142857
2020-10-03,85,0.1506849315068493,12.808219178082192,6.440704500978472
2020-10-04,73,0.1530815109343936,11.174950298210732,5.619403578528824
2020-10-05,49,0.1530815109343936,7.500994035785286,3.771928429423457
2020-10-06,89,0.1530815109343936,13.624254473161029,6.851053677932402
2020-10-07,95,0.1530815109343936,14.542743538767391,7.312922465208745
2020-10-08,83,0.1530815109343936,12.705765407554669,6.38918489065606
2020-10-09,60,0.1530815109343936,9.184890656063615,4.618687872763417
2020-10-10,54,0.1530815109343936,8.266401590457255,4.156819085487076
2020-10-11,53,0.1386138613861386,7.346534653465346,3.694257425742573
2020-10-12,70,0.1386138613861386,9.702970297029703,4.879207920792078
2020-10-13,38,0.1386138613861386,5.267326732673267,2.648712871287128
2020-10-14,57,0.1386138613861386,7.9009900990099,3.9730693069306917
2020-10-15,65,0.1386138613861386,9.009900990099009,4.530693069306929
2020-10-16,47,0.1386138613861386,6.514851485148514,3.276039603960395
2020-10-17,74,0.1386138613861386,10.257425742574256,5.1580198019801955
2020-10-18,100,0.1403118040089087,14.03118040089087,7.055679287305122
2020-10-19,40,0.1403118040089087,5.612472160356347,2.8222717149220484
2020-10-20,93,0.1403118040089087,13.048997772828509,6.561781737193763
