date,Frontliners,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-04-17,89,0.9194915254237288,81.83474576271186,69.79334745762714
2020-04-18,83,0.9194915254237288,76.3177966101695,65.08817796610171
2020-04-19,79,0.779089376053963,61.54806070826308,52.491703204047234
2020-04-20,85,0.779089376053963,66.22259696458686,56.47841483979765
2020-04-21,89,0.779089376053963,69.33895446880271,59.13622259696461
2020-04-22,81,0.779089376053963,63.106239460371,53.8206070826307
2020-04-23,92,0.779089376053963,71.67622259696459,61.12957841483981
2020-04-24,83,0.779089376053963,64.66441821247894,55.14951096121419
2020-04-25,84,0.779089376053963,65.4435075885329,55.81396290050592
2020-04-26,69,0.7693693693693693,53.08648648648648,45.27518918918919
2020-04-27,81,0.7693693693693693,62.31891891891891,53.14913513513514
2020-04-28,77,0.7693693693693693,59.24144144144144,50.52448648648649
2020-04-29,100,0.7693693693693693,76.93693693693693,65.61621621621622
2020-04-30,77,0.7693693693693693,59.24144144144144,50.52448648648649
2020-05-01,75,0.7693693693693693,57.702702702702695,49.212162162162166
2020-05-02,76,0.7693693693693693,58.472072072072066,49.86832432432433
2020-05-03,44,0.8135135135135135,35.79459459459459,30.52767567567568
2020-05-04,55,0.8135135135135135,44.74324324324324,38.1595945945946
2020-05-05,65,0.8135135135135135,52.87837837837838,45.097702702702705
2020-05-06,40,0.8135135135135135,32.54054054054054,27.75243243243244
2020-05-07,59,0.8135135135135135,47.9972972972973,40.93483783783785
2020-05-08,60,0.8135135135135135,48.810810810810814,41.62864864864866
2020-05-09,47,0.8135135135135135,38.23513513513514,32.60910810810812
2020-05-10,35,0.8249158249158248,28.87205387205387,24.623737373737377
2020-05-11,48,0.8249158249158248,39.59595959595959,33.76969696969697
2020-05-12,46,0.8249158249158248,37.946127946127945,32.362626262626264
2020-05-13,48,0.8249158249158248,39.59595959595959,33.76969696969697
2020-05-14,43,0.8249158249158248,35.47138047138047,30.25202020202021
2020-05-15,38,0.8249158249158248,31.346801346801342,26.734343434343433
2020-05-16,39,0.8249158249158248,32.17171717171717,27.437878787878788
2020-05-17,93,0.3360927152317881,31.25662251655629,26.657433774834445
2020-05-18,90,0.3360927152317881,30.248344370860927,25.797516556291395
2020-05-19,78,0.3360927152317881,26.21523178807947,22.357847682119207
2020-05-20,81,0.3360927152317881,27.223509933774835,23.217764900662257
2020-05-21,100,0.3360927152317881,33.609271523178805,28.663907284768214
2020-05-22,70,0.3360927152317881,23.526490066225165,20.06473509933775
2020-05-23,92,0.3360927152317881,30.920529801324502,26.37079470198676
2020-05-24,79,0.3733333333333333,29.49333333333333,25.153599999999997
2020-05-25,92,0.3733333333333333,34.346666666666664,29.292800000000003
2020-05-26,96,0.3733333333333333,35.839999999999996,30.566399999999998
2020-05-27,65,0.3733333333333333,24.266666666666666,20.696000000000005
2020-05-28,65,0.3733333333333333,24.266666666666666,20.696000000000005
2020-05-29,53,0.3733333333333333,19.786666666666665,16.8752
2020-05-30,0,0.3733333333333333,0.0,0.0
2020-05-31,85,0.3324538258575197,28.258575197889176,24.100527704485486
2020-06-01,66,0.3324538258575197,21.9419525065963,18.71335092348285
2020-06-02,0,0.3324538258575197,0.0,0.0
2020-06-03,65,0.3324538258575197,21.60949868073878,18.42981530343008
2020-06-04,58,0.3324538258575197,19.282321899736143,16.445065963060685
2020-06-05,47,0.3324538258575197,15.625329815303425,13.32617414248021
