date,flu,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-06-10,45,0.3236009732360097,14.562043795620438,7.135401459854014
2020-06-11,55,0.3236009732360097,17.798053527980535,8.721046228710462
2020-06-12,60,0.3236009732360097,19.416058394160583,9.513868613138685
2020-06-13,83,0.3236009732360097,26.85888077858881,13.160851581508515
2020-06-14,81,0.3783783783783783,30.648648648648642,15.017837837837833
2020-06-15,65,0.3783783783783783,24.59459459459459,12.051351351351348
2020-06-16,48,0.3783783783783783,18.162162162162158,8.899459459459456
2020-06-17,62,0.3783783783783783,23.459459459459453,11.495135135135131
2020-06-18,56,0.3783783783783783,21.189189189189186,10.382702702702701
2020-06-19,54,0.3783783783783783,20.432432432432428,10.011891891891889
2020-06-20,41,0.3783783783783783,15.51351351351351,7.60162162162162
2020-06-21,34,0.4472843450479233,15.207667731629392,7.451757188498402
2020-06-22,48,0.4472843450479233,21.469648562300318,10.520127795527156
2020-06-23,39,0.4472843450479233,17.44408945686901,8.547603833865814
2020-06-24,44,0.4472843450479233,19.680511182108624,9.643450479233225
2020-06-25,51,0.4472843450479233,22.81150159744409,11.177635782747602
2020-06-26,57,0.4472843450479233,25.495207667731627,12.492651757188497
2020-06-27,40,0.4472843450479233,17.89137380191693,8.766773162939295
2020-06-28,57,0.4064516129032258,23.16774193548387,11.352193548387095
2020-06-29,55,0.4064516129032258,22.35483870967742,10.953870967741935
2020-06-30,100,0.4064516129032258,40.64516129032258,19.916129032258063
2020-07-01,75,0.4064516129032258,30.483870967741936,14.937096774193549
2020-07-02,70,0.4064516129032258,28.451612903225804,13.941290322580643
2020-07-03,54,0.4064516129032258,21.948387096774194,10.754709677419354
2020-07-04,54,0.4064516129032258,21.948387096774194,10.754709677419354
2020-07-05,73,0.3923766816143497,28.643497757847527,14.035313901345287
2020-07-06,68,0.3923766816143497,26.681614349775778,13.07399103139013
2020-07-07,56,0.3923766816143497,21.973094170403584,10.766816143497755
2020-07-08,52,0.3923766816143497,20.403587443946183,9.997757847533629
2020-07-09,72,0.3923766816143497,28.251121076233176,13.843049327354256
2020-07-10,55,0.3923766816143497,21.580717488789233,10.574551569506724
2020-07-11,70,0.3923766816143497,27.466367713004477,13.458520179372194
2020-07-12,64,0.4008179959100204,25.652351738241304,12.56965235173824
2020-07-13,68,0.4008179959100204,27.255623721881385,13.35525562372188
2020-07-14,52,0.4008179959100204,20.842535787321058,10.212842535787319
2020-07-15,64,0.4008179959100204,25.652351738241304,12.56965235173824
2020-07-16,73,0.4008179959100204,29.259713701431487,14.337259713701428
2020-07-17,77,0.4008179959100204,30.862985685071568,15.122862985685067
2020-07-18,91,0.4008179959100204,36.47443762781185,17.872474437627805
2020-07-19,87,0.3986599664991624,34.68341708542713,16.994874371859293
2020-07-20,90,0.3986599664991624,35.87939698492462,17.58090452261306
2020-07-21,70,0.3986599664991624,27.90619765494137,13.67403685092127
2020-07-22,86,0.3986599664991624,34.28475711892797,16.799530988274704
2020-07-23,90,0.3986599664991624,35.87939698492462,17.58090452261306
2020-07-24,84,0.3986599664991624,33.48743718592964,16.40884422110552
2020-07-25,90,0.3986599664991624,35.87939698492462,17.58090452261306
2020-07-26,92,0.3684210526315789,33.89473684210526,16.608421052631577
2020-07-27,89,0.3684210526315789,32.78947368421053,16.066842105263156
2020-07-28,75,0.3684210526315789,27.63157894736842,13.539473684210526
2020-07-29,73,0.3684210526315789,26.89473684210526,13.178421052631577
2020-07-30,100,0.3684210526315789,36.84210526315789,18.052631578947363
2020-07-31,87,0.3684210526315789,32.05263157894737,15.705789473684211
