date,cough,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-06-12,66,0.3037735849056604,20.049056603773586,17.499962264150945
2020-06-13,96,0.3037735849056604,29.1622641509434,25.45449056603774
2020-06-14,77,0.3617977528089888,27.858426966292136,24.316426966292138
2020-06-15,93,0.3617977528089888,33.64719101123596,29.369191011235962
2020-06-16,84,0.3617977528089888,30.39101123595506,26.52701123595506
2020-06-17,45,0.3617977528089888,16.280898876404496,14.210898876404496
2020-06-18,36,0.3617977528089888,13.024719101123596,11.368719101123597
2020-06-19,53,0.3617977528089888,19.175280898876405,16.737280898876406
2020-06-20,57,0.3617977528089888,20.62247191011236,18.00047191011236
2020-06-21,66,0.4558823529411764,30.08823529411764,26.26273109243697
2020-06-22,54,0.4558823529411764,24.617647058823525,21.487689075630247
2020-06-23,58,0.4558823529411764,26.441176470588232,23.079369747899158
2020-06-24,76,0.4558823529411764,34.647058823529406,30.241932773109237
2020-06-25,83,0.4558823529411764,37.838235294117645,33.02737394957983
2020-06-26,58,0.4558823529411764,26.441176470588232,23.079369747899158
2020-06-27,81,0.4558823529411764,36.92647058823529,32.23153361344537
2020-06-28,73,0.4841897233201581,35.34584980237154,30.85187747035573
2020-06-29,70,0.4841897233201581,33.89328063241106,29.583992094861657
2020-06-30,66,0.4841897233201581,31.956521739130434,27.893478260869564
2020-07-01,76,0.4841897233201581,36.798418972332016,32.119762845849806
2020-07-02,75,0.4841897233201581,36.31422924901186,31.697134387351785
2020-07-03,70,0.4841897233201581,33.89328063241106,29.583992094861657
2020-07-04,76,0.4841897233201581,36.798418972332016,32.119762845849806
2020-07-05,100,0.4475409836065574,44.75409836065574,39.063934426229515
2020-07-06,80,0.4475409836065574,35.80327868852459,31.25114754098361
2020-07-07,81,0.4475409836065574,36.25081967213115,31.641786885245903
2020-07-08,88,0.4475409836065574,39.38360655737705,34.376262295081965
2020-07-09,87,0.4475409836065574,38.9360655737705,33.985622950819675
2020-07-10,84,0.4475409836065574,37.593442622950825,32.81370491803279
2020-07-11,90,0.4475409836065574,40.278688524590166,35.15754098360656
