date,ubo,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-06-28,100,0.967741935483871,96.7741935483871,44.59640255686041
2020-06-29,59,0.967741935483871,57.09677419354839,26.311877508547642
2020-06-30,47,0.967741935483871,45.483870967741936,20.960309201724392
2020-07-01,59,0.967741935483871,57.09677419354839,26.311877508547642
2020-07-02,42,0.967741935483871,40.645161290322584,18.730489073881373
2020-07-03,57,0.967741935483871,55.16129032258065,25.419949457410436
2020-07-04,70,0.967741935483871,67.74193548387098,31.21748178980229
2020-07-05,41,1.0400943396226416,42.64386792452831,19.651552038953135
2020-07-06,83,1.0400943396226416,86.32783018867926,39.782410225197815
2020-07-07,43,1.0400943396226416,44.72405660377359,20.61016433353621
2020-07-08,80,1.0400943396226416,83.20754716981133,38.34449178332319
2020-07-09,55,1.0400943396226416,57.20518867924529,26.36183810103469
2020-07-10,50,1.0400943396226416,52.004716981132084,23.965307364576994
2020-07-11,72,1.0400943396226416,74.88679245283019,34.51004260499087
2020-07-12,86,1.0096153846153846,86.82692307692308,40.01240694789082
2020-07-13,48,1.0096153846153846,48.46153846153846,22.332506203473944
2020-07-14,56,1.0096153846153846,56.53846153846153,26.0545905707196
2020-07-15,46,1.0096153846153846,46.44230769230769,21.401985111662526
2020-07-16,45,1.0096153846153846,45.43269230769231,20.93672456575682
2020-07-17,55,1.0096153846153846,55.52884615384615,25.589330024813894
2020-07-18,80,1.0096153846153846,80.76923076923077,37.220843672456574
2020-07-19,61,0.994318181818182,60.6534090909091,27.950879765395896
2020-07-20,66,0.994318181818182,65.62500000000001,30.241935483870968
2020-07-21,59,0.994318181818182,58.66477272727274,27.03445747800587
2020-07-22,62,0.994318181818182,61.64772727272728,28.40909090909091
2020-07-23,44,0.994318181818182,43.75000000000001,20.161290322580648
2020-07-24,60,0.994318181818182,59.65909090909092,27.492668621700883
2020-07-25,0,0.994318181818182,0.0,0.0
2020-07-26,74,0.8590909090909091,63.57272727272728,29.296187683284458
2020-07-27,56,0.8590909090909091,48.10909090909091,22.170087976539588
2020-07-28,57,0.8590909090909091,48.96818181818182,22.56598240469208
2020-07-29,95,0.8590909090909091,81.61363636363637,37.6099706744868
2020-07-30,0,0.8590909090909091,0.0,0.0
2020-07-31,58,0.8590909090909091,49.82727272727273,22.96187683284457
2020-08-01,100,0.8590909090909091,85.9090909090909,39.58944281524926
2020-08-02,62,0.8195121951219513,50.80975609756098,23.414634146341463
2020-08-03,51,0.8195121951219513,41.795121951219514,19.260424862313137
2020-08-04,67,0.8195121951219513,54.90731707317074,25.302911093627067
2020-08-05,78,0.8195121951219513,63.9219512195122,29.45712037765539
2020-08-06,53,0.8195121951219513,43.43414634146342,20.015735641227376
2020-08-07,53,0.8195121951219513,43.43414634146342,20.015735641227376
2020-08-08,46,0.8195121951219513,37.69756097560976,17.37214791502754
2020-08-09,55,1.12109375,61.66015625,28.414818548387093
2020-08-10,77,1.12109375,86.32421875,39.78074596774193
2020-08-11,0,1.12109375,0.0,0.0
2020-08-12,40,1.12109375,44.84375,20.66532258064516
2020-08-13,40,1.12109375,44.84375,20.66532258064516
2020-08-14,44,1.12109375,49.328125,22.731854838709676
2020-08-15,0,1.12109375,0.0,0.0
