date,headache,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-05-26,100,1.0048939641109298,100.48939641109298,85.97940676033609
2020-05-27,92,1.0048939641109298,92.45024469820554,79.1010542195092
2020-05-28,81,1.0048939641109298,81.39641109298532,69.64331947587222
2020-05-29,87,1.0048939641109298,87.4257748776509,74.8020838814924
2020-05-30,85,1.0048939641109298,85.41598694942903,73.08249574628566
2020-05-31,98,0.946917808219178,92.79794520547945,79.39854912358226
2020-06-01,91,0.946917808219178,86.1695205479452,73.72722418618352
2020-06-02,68,0.946917808219178,64.39041095890411,55.09287082044484
2020-06-03,80,0.946917808219178,75.75342465753424,64.8151421416998
2020-06-04,76,0.946917808219178,71.96575342465754,61.57438503461482
2020-06-05,79,0.946917808219178,74.80650684931507,64.00495286492855
2020-06-06,92,0.946917808219178,87.11643835616438,74.53741346295477
2020-06-07,89,0.9764492753623188,86.90398550724638,74.3556373694873
2020-06-08,84,0.9764492753623188,82.02173913043478,70.1783543712015
2020-06-09,67,0.9764492753623188,65.42210144927536,55.97559217702977
2020-06-10,70,0.9764492753623188,68.35144927536231,58.48196197600124
2020-06-11,72,0.9764492753623188,70.30434782608695,60.152875175315565
2020-06-12,84,0.9764492753623188,82.02173913043478,70.1783543712015
2020-06-13,86,0.9764492753623188,83.97463768115942,71.84926757051582
2020-06-14,87,1.0044843049327354,87.39013452914799,74.77158975842615
2020-06-15,66,1.0044843049327354,66.29596412556054,56.72327498915087
2020-06-16,71,1.0044843049327354,71.31838565022422,61.020492791359274
2020-06-17,61,1.0044843049327354,61.27354260089686,52.42605718694248
2020-06-18,50,1.0044843049327354,50.224215246636774,42.972178022083995
2020-06-19,41,1.0044843049327354,41.18385650224215,35.237185978108876
2020-06-20,70,1.0044843049327354,70.31390134529148,60.1610492309176
2020-06-21,64,1.223157894736842,78.28210526315789,66.97869835880022
2020-06-22,76,1.223157894736842,92.96,79.53720430107526
2020-06-23,54,1.223157894736842,66.05052631578947,56.513276740237686
2020-06-24,66,1.223157894736842,80.72842105263157,69.07178268251273
2020-06-25,76,1.223157894736842,92.96,79.53720430107526
2020-06-26,62,1.223157894736842,75.8357894736842,64.88561403508771
2020-06-27,77,1.223157894736842,94.18315789473684,80.58374646293151
2020-06-28,77,1.2026431718061674,92.60352422907489,79.2322012221117
2020-06-29,55,1.2026431718061674,66.14537444933922,56.5944294443655
2020-06-30,64,1.2026431718061674,76.96916299559471,65.85533608071621
2020-07-01,65,1.2026431718061674,78.17180616740089,66.8843257069774
2020-07-02,70,1.2026431718061674,84.18502202643172,72.02927383828336
2020-07-03,61,1.2026431718061674,73.36123348017621,62.76836720193264
2020-07-04,62,1.2026431718061674,74.56387665198238,63.79735682819383
2020-07-05,90,1.1794871794871795,106.15384615384616,90.8259482453031
2020-07-06,87,1.1794871794871795,102.61538461538461,87.79841663712631
2020-07-07,72,1.1794871794871795,84.92307692307692,72.66075859624246
2020-07-08,79,1.1794871794871795,93.17948717948718,79.7249990153216
2020-07-09,73,1.1794871794871795,86.1025641025641,73.66993579896805
2020-07-10,80,1.1794871794871795,94.35897435897436,80.73417621804718
2020-07-11,65,1.1794871794871795,76.66666666666667,65.59651817716335
2020-07-12,100,1.1687612208258529,116.87612208258528,100.0
2020-07-13,73,1.1687612208258529,85.31956912028726,73.0
2020-07-14,68,1.1687612208258529,79.475763016158,68.0
2020-07-15,86,1.1687612208258529,100.51346499102334,86.0
2020-07-16,83,1.1687612208258529,97.00718132854578,83.0
2020-07-17,69,1.1687612208258529,80.64452423698386,69.0
2020-07-18,78,1.1687612208258529,91.16337522441653,78.0
2020-07-19,86,1.1075949367088609,95.25316455696203,81.49925139512727
2020-07-20,85,1.1075949367088609,94.14556962025317,80.55158568123043
2020-07-21,81,1.1075949367088609,89.71518987341773,76.76092282564312
2020-07-22,98,1.1075949367088609,108.54430379746837,92.87123996188922
2020-07-23,100,1.1075949367088609,110.75949367088609,94.76657138968288
2020-07-24,93,1.1075949367088609,103.00632911392407,88.13291139240508
2020-07-25,89,1.1075949367088609,98.57594936708863,84.34224853681776
2020-07-26,90,1.123456790123457,101.11111111111111,86.51135005973715
2020-07-27,84,1.123456790123457,94.37037037037038,80.74392672242135
2020-07-28,79,1.123456790123457,88.75308641975309,75.9377406079915
2020-07-29,97,1.123456790123457,108.97530864197532,93.24001061993894
2020-07-30,75,1.123456790123457,84.25925925925927,72.09279171644764
2020-07-31,61,1.123456790123457,68.53086419753087,58.63547059604408
2020-08-01,81,1.123456790123457,91.00000000000001,77.86021505376345
2020-08-02,87,1.1347905282331512,98.72677595628416,84.47129678594511
2020-08-03,77,1.1347905282331512,87.37887067395265,74.76195232779051
2020-08-04,77,1.1347905282331512,87.37887067395265,74.76195232779051
2020-08-05,77,1.1347905282331512,87.37887067395265,74.76195232779051
2020-08-06,85,1.1347905282331512,96.45719489981785,82.52942789431418
2020-08-07,61,1.1347905282331512,69.22222222222223,59.22700119474313
2020-08-08,85,1.1347905282331512,96.45719489981785,82.52942789431418
