date,work from home,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-11-02,60,0.418141592920354,25.08849557522124,18.523672566371687
2020-11-03,74,0.418141592920354,30.942477876106196,22.84586283185841
2020-11-04,89,0.418141592920354,37.21460176991151,27.47678097345133
2020-11-05,84,0.418141592920354,35.123893805309734,25.933141592920357
2020-11-06,68,0.418141592920354,28.433628318584073,20.993495575221242
2020-11-07,0,0.418141592920354,0.0,0.0
2020-11-08,0,0.5618729096989966,0.0,0.0
2020-11-09,73,0.5618729096989966,41.01672240802675,30.284013377926417
2020-11-10,79,0.5618729096989966,44.38795986622073,32.773110367892976
2020-11-11,80,0.5618729096989966,44.94983277591973,33.18795986622074
2020-11-12,0,0.5618729096989966,0.0,0.0
2020-11-13,67,0.5618729096989966,37.64548494983277,27.794916387959862
2020-11-14,0,0.5618729096989966,0.0,0.0
2020-11-15,61,0.3698630136986301,22.561643835616437,16.658013698630135
2020-11-16,73,0.3698630136986301,27.0,19.935
2020-11-17,85,0.3698630136986301,31.43835616438356,23.211986301369862
2020-11-18,77,0.3698630136986301,28.479452054794518,21.027328767123286
2020-11-19,75,0.3698630136986301,27.739726027397257,20.48116438356164
2020-11-20,88,0.3698630136986301,32.54794520547945,24.031232876712327
2020-11-21,52,0.3698630136986301,19.232876712328768,14.200273972602739
2020-11-22,83,0.5026595744680851,41.72074468085106,30.8038164893617
2020-11-23,0,0.5026595744680851,0.0,0.0
2020-11-24,71,0.5026595744680851,35.68882978723404,26.35025265957447
2020-11-25,80,0.5026595744680851,40.212765957446805,29.690425531914894
2020-11-26,61,0.5026595744680851,30.662234042553187,22.638949468085105
2020-11-27,81,0.5026595744680851,40.71542553191489,30.061555851063826
2020-11-28,0,0.5026595744680851,0.0,0.0
2020-11-29,48,0.4325842696629213,20.764044943820224,15.330786516853934
2020-11-30,45,0.4325842696629213,19.46629213483146,14.37261235955056
2020-12-01,83,0.4325842696629213,35.90449438202247,26.509485018726593
2020-12-02,63,0.4325842696629213,27.25280898876404,20.121657303370785
2020-12-03,67,0.4325842696629213,28.983146067415728,21.399222846441944
2020-12-04,50,0.4325842696629213,21.629213483146064,15.96956928838951
2020-12-05,0,0.4325842696629213,0.0,0.0
2020-12-06,59,0.329243353783231,19.42535787321063,14.342389229720515
2020-12-07,70,0.329243353783231,23.04703476482617,17.016394001363324
2020-12-08,64,0.329243353783231,21.071574642126784,15.55784594410361
2020-12-09,100,0.329243353783231,32.9243353783231,24.30913428766189
2020-12-10,70,0.329243353783231,23.04703476482617,17.016394001363324
2020-12-11,54,0.329243353783231,17.779141104294474,13.126932515337419
2020-12-12,72,0.329243353783231,23.705521472392633,17.502576687116562
2020-12-13,53,0.3569405099150141,18.917847025495746,13.96767705382436
