date,social distancing,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-05-15,77,0.6387832699619772,49.18631178707224,29.34783269961977
2020-05-16,88,0.6387832699619772,56.212927756654,33.54038022813688
2020-05-17,62,0.7648148148148148,47.41851851851852,28.293049382716045
2020-05-18,100,0.7648148148148148,76.48148148148148,45.63395061728394
2020-05-19,89,0.7648148148148148,68.06851851851852,40.61421604938271
2020-05-20,100,0.7648148148148148,76.48148148148148,45.63395061728394
2020-05-21,63,0.7648148148148148,48.18333333333334,28.749388888888888
2020-05-22,60,0.7648148148148148,45.88888888888889,27.380370370370372
2020-05-23,66,0.7648148148148148,50.47777777777778,30.11840740740741
2020-05-24,40,0.7540983606557377,30.163934426229506,17.99781420765027
2020-05-25,58,0.7540983606557377,43.73770491803278,26.09683060109289
2020-05-26,71,0.7540983606557377,53.540983606557376,31.94612021857923
2020-05-27,79,0.7540983606557377,59.57377049180327,35.54568306010928
2020-05-28,74,0.7540983606557377,55.803278688524586,33.295956284153
2020-05-29,51,0.7540983606557377,38.45901639344262,22.947213114754096
2020-05-30,54,0.7540983606557377,40.721311475409834,24.297049180327864
2020-05-31,65,0.7625272331154684,49.56427015250545,29.573347857661584
2020-06-01,85,0.7625272331154684,64.81481481481482,38.67283950617284
2020-06-02,61,0.7625272331154684,46.514161220043576,27.753449527959333
2020-06-03,73,0.7625272331154684,55.66448801742919,33.213144517066084
2020-06-04,66,0.7625272331154684,50.326797385620914,30.02832244008714
2020-06-05,54,0.7625272331154684,41.1764705882353,24.568627450980394
2020-06-06,55,0.7625272331154684,41.93899782135077,25.023602033405957
2020-06-07,37,0.750788643533123,27.77917981072555,16.574910620399578
2020-06-08,59,0.750788643533123,44.29652996845426,26.430262881177708
2020-06-09,50,0.750788643533123,37.53943217665615,22.398527865404834
2020-06-10,53,0.750788643533123,39.791798107255524,23.742439537329126
2020-06-11,55,0.750788643533123,41.293375394321764,24.63838065194532
2020-06-12,32,0.750788643533123,24.025236593059937,14.335057833859095
2020-06-13,31,0.750788643533123,23.274447949526813,13.887087276550997
2020-06-14,61,0.5496535796766744,33.52886836027714,20.005558121632024
2020-06-15,57,0.5496535796766744,31.33025404157044,18.693718244803694
2020-06-16,44,0.5496535796766744,24.184757505773675,14.430238645111626
2020-06-17,79,0.5496535796766744,43.42263279445728,25.908837567359512
2020-06-18,48,0.5496535796766744,26.38337182448037,15.742078521939954
2020-06-19,69,0.5496535796766744,37.926096997690536,22.629237875288684
2020-06-20,75,0.5496535796766744,41.224018475750576,24.596997690531175
2020-06-21,50,0.5147058823529412,25.73529411764706,15.355392156862745
2020-06-22,70,0.5147058823529412,36.029411764705884,21.497549019607842
2020-06-23,53,0.5147058823529412,27.279411764705884,16.27671568627451
2020-06-24,54,0.5147058823529412,27.794117647058826,16.583823529411763
2020-06-25,67,0.5147058823529412,34.485294117647065,20.57622549019608
2020-06-26,66,0.5147058823529412,33.97058823529412,20.269117647058827
2020-06-27,48,0.5147058823529412,24.70588235294118,14.741176470588238
2020-06-28,0,0.5867052023121387,0.0,0.0
2020-06-29,78,0.5867052023121387,45.76300578034682,27.305260115606938
2020-06-30,50,0.5867052023121387,29.335260115606935,17.503371868978803
